Hillary,Clinton,8
stern,fart,2
stern,Ew,2
stern,to,9
miraculous,I,1
miraculous,and,1
miraculous,",",1
nan-a-boo,",",4
dna,nur,1
catchy,turn,1
catchy,little,4
cannibal,I,1
cannibal,magnetism,3
cannibal,",",3
halfways,off,5
music,all,13
music,being,2
music,move,23
music,years,7
music,shake,4
music,go,7
music,saved,4
music,Told,5
music,blast,15
music,",",174
music,to,13
music,has,4
music,then,4
music,Oh,7
music,stop,7
music,they,2
music,Mother,4
music,now,5
music,Vogue,24
music,Don't,4
music,did,2
music,turns,4
music,set,17
music,what-up,2
music,are,1
music,divine,10
music,really,2
music,for,7
music,That,2
music,stops,35
music,Let,30
music,WDPK,2
music,new,1
music,He,2
music,business,5
music,were,8
music,box,62
music,Give,4
music,dyin,1
music,of,21
music,wouldn't,7
music,s,1
music,usually,5
music,makes,16
music,or,2
music,can't,3
music,coming,17
music,When,1
music,Hey,23
music,Till,4
music,Music,2
music,Way,4
music,Ooh,42
music,But,2
music,.,2
music,start,3
music,station,34
music,too,2
music,Wanted,5
music,that,2
music,started,1
music,but,2
music,with,1
music,And,8
music,pull,8
music,save,7
music,this,1
music,up,21
music,will,29
music,can,8
music,starts,32
music,Any,105
music,and,14
music,sees,9
music,is,42
music,as,8
music,in,38
music,You,19
music,Cause,5
music,shit,5
music,no,1
music,take,34
music,you,5
music,play,8
music,used,7
music,Like,3
music,I,20
music,Matter,4
music,Oooh,1
music,died,14
music,Sweet,14
music,Is,7
music,so,6
music,playing,24
music,If,105
therefore,I'm,4
therefore,women,2
mystic,and,2
mystic,glow,3
mystic,garden,6
mystic,hammering,10
musik,All,9
musik,Pop,27
musik,.,1
musik,Shoobie,27
musik,Now,9
musik,Singing,9
musik,Talk,63
J-Black,Am,1
Strobe,lights,9
Aeroplane,",",4
unpack,all,4
unpack,his,3
unpack,my,16
circumstances,require,3
circumstances,I'm,5
circumstances,?,2
listenin,to,1
captain's,tower,24
locked,and,10
locked,All,5
locked,like,1
locked,Oh,43
locked,This,5
locked,Where,2
locked,away,16
locked,in,48
locked,up,96
locked,",",13
locked,down,1
locked,I,2
locked,outside,8
locked,so,2
locked,She,1
locked,Big,1
locked,you,2
locked,.,1
locked,my,2
locked,inside,1
locker,And,5
locket,It's,3
Le,vent,1
Le,foutu,1
Le,soleil,1
Le,souffle,1
Le,temps,1
Le,futur,1
Le,sais-tu,2
wand,and,2
wand,",",18
wand,But,5
La,ville,1
La,c,1
La,Dolce,5
La,la,131
La,cigu,1
La,vie,5
La,",",56
La,da,11
La,Rio,2
La,houle,2
La,Familia,2
La,envidia,1
La,haine,3
La,isla,48
La,vis-tu,1
La,philosophie,1
Lo,and,16
Lo,empire,1
Lo,siento,5
Lo,odio,3
Lo,",",2
titanium,cranium,5
Suckered,you,15
want,You're,40
want,What,3
want,don't,10
want,young,3
want,money,55
want,all,30
want,trouble,1
want,We,1
want,What's,2
want,",",320
want,Eminem,8
want,to,4770
want,pussy,2
want,Nigga,2
want,And,13
want,them,5
want,his,3
want,somebody,81
want,Oh,5
want,ya,26
want,me,563
want,I'd,3
want,they,1
want,I'm,8
want,him,48
want,heaven,4
want,Just,2
want,leather,3
want,this,116
want,losers,5
want,ya'll,1
want,Before,4
want,em,4
want,For,22
want,hard,2
want,some,35
want,sex,1
want,There's,3
want,apologies,1
want,our,48
want,girl,1
want,what,54
want,Somebody,5
want,for,54
want,mine,1
want,However,7
want,Octobers,1
want,?,2
want,be,1
want,we,2
want,Sometimes,5
want,folksingers,5
want,about,4
want,Money,22
want,drama,1
want,Bizarre,1
want,y'all,1
want,features,1
want,It's,16
want,When,1
want,Hey,15
want,one,1
want,another,3
want,your,100
want,'em,10
want,everybody,3
want,"""",28
want,from,38
want,her,58
want,Get,1
want,Ooh,6
want,But,4
want,.,22
want,anyone,4
want,too,2
want,white,1
want,:,10
want,war,7
want,today,9
want,more,40
want,that,45
want,Whenever,7
want,what's,17
want,nobody,65
want,Well,31
want,but,11
want,you,1328
want,So,4
want,Time,48
want,baby,11
want,with,2
want,those,36
want,That's,130
want,I'll,2
want,ev'rybody,5
want,these,1
want,us,30
want,of,2
want,my,104
want,proof,6
want,and,12
want,He's,24
want,God,4
want,is,161
want,Na,19
want,it,326
want,an,9
want,tonight,2
want,someone,9
want,something,40
want,want,1
want,in,16
want,nothin',2
want,You,7
want,any,26
want,Or,2
want,if,1
want,again,9
want,anymore,10
want,no,86
want,things,13
want,peace,13
want,when,2
want,take,1
want,They,3
want,shawty,9
want,A,8
want,Like,37
want,Do,6
want,I,26
want,Shady,22
want,stay,4
want,Without,1
want,plenty,4
want,N,1
want,the,146
want,a,215
want,Is,2
want,Yeah,1
want,so,35
want,Bitch,20
want,hoo,2
want,Girl,3
want,that's,8
want,talk,7
want,If,188
sentencin',I'm,1
Blink,a,3
Blink,of,1
Blink,your,3
cocksucker,shoved,1
absolute,garbage,1
nuh-no,he,4
Hopin',to,7
Hopin',western,1
Hopin',for,6
Hopin',Western,2
LA,You're,1
LA,river,4
LA,",",1
LA,.,2
LA,blowing,1
LA,River,6
LA,Cause,1
travel,On,3
travel,all,10
travel,unnoticed,2
travel,on,23
travel,this,2
travel,Travel,1
travel,",",1
travel,down,2
travel,anywhere,2
travel,too,9
